"","domainID","siteID","plotID","trapCoordinate.x","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","trapStatus","trapType","collectDate","endDate.x","tagID","taxonID","scientificName","sex","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","weight","larvalTicksAttached","nymphalTicksAttached","adultTicksAttached","tickNumber","additionalParasites","bloodSampleID","fecalSampleID","earSampleID","hairSampleID","voucherSampleID","iButtonNumber","year","month","capturetime_line","IDunique","id","ncap","capture_date","capture_time","night_length","hps","prop_elapsed","sppID","DNAsh","sppID_assumed","tail_weight_ratio","mean_foot","mean_ear","mean_tail","mean_weight","mean_ratio"
"1","D02","BLAN","BLAN_009","H1","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanXLK","4/7/2022","4/7/2022","NEON.MAM.D02.311952","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","nonscrotal",NA,NA,NA,21,NA,NA,25,"N","Y","N","5-Jan",NA,"BLAN.20220407.311952.B",NA,NA,"BLAN.20220407.311952.H",NA,35,2022,4,1,"BLAN_009_NEON.MAM.D02.311952","1",5,2022-04-07,"03:50:00",11.1227777777778,8.15194444444444,0.732905449278258,"PELE","PELE",NA,NA,20.6,NA,NA,24.2,NA
"2","D02","BLAN","BLAN_009","F1","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanXLK","6/1/2022","6/1/2022","NEON.MAM.D02.311952","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","scrotal",NA,NA,NA,20,NA,NA,23,"N","N","N",NA,NA,"BLAN.20220601.311952.B","BLAN.20220601.311952.F",NA,"BLAN.20220601.311952.H",NA,NA,2022,6,NA,"BLAN_009_NEON.MAM.D02.311952","1",5,NA,NA,NA,NA,NA,"PELE","PELE",NA,NA,20.6,NA,NA,24.2,NA
"3","D02","BLAN","BLAN_009","D1","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","6/2/2022","6/2/2022","NEON.MAM.D02.311952","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","nonscrotal",NA,NA,NA,21,NA,NA,22,"N","N","N",NA,NA,NA,NA,NA,NA,NA,382,2022,6,1,"BLAN_009_NEON.MAM.D02.311952","1",5,2022-06-01,"23:05:00",9.28416666666667,2.53416666666667,0.272955749035096,"PELE","PELE",NA,NA,20.6,NA,NA,24.2,NA
"4","D02","BLAN","BLAN_009","F3","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","6/3/2022","6/3/2022","NEON.MAM.D02.311952","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","scrotal",NA,NA,NA,21,NA,NA,24,"Y","N","N","5-Jan",NA,NA,NA,NA,NA,NA,305,2022,6,2,"BLAN_009_NEON.MAM.D02.311952","1",5,2022-06-03,"02:05:00",9.24861111111111,5.5225,0.597116684186815,"PELE","PELE",NA,NA,20.6,NA,NA,24.2,NA
"5","D02","BLAN","BLAN_009","G4","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","8/31/2022","8/31/2022","NEON.MAM.D02.311952","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","scrotal",NA,NA,NA,20,NA,NA,27,"N","Y","N","5-Jan",NA,"BLAN.20220831.311952.B",NA,NA,NA,NA,53,2022,8,2,"BLAN_009_NEON.MAM.D02.311952","1",5,2022-08-31,"00:45:00",10.8869444444444,4.95277777777778,0.454928175949787,"PELE","PELE",NA,NA,20.6,NA,NA,24.2,NA
"6","D02","BLAN","BLAN_009","D5","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanXLK","4/7/2022","4/7/2022","NEON.MAM.D02.L5007","PELE","Peromyscus leucopus","M","N","escaped",NA,"adult","nonscrotal",NA,NA,NA,NA,NA,NA,NA,"U","U","U",NA,NA,NA,"BLAN.20220407.L5007.F",NA,NA,NA,95,2022,4,1,"BLAN_009_NEON.MAM.D02.L5007","3",1,2022-04-07,"05:55:00",11.1227777777778,10.2352777777778,0.920208780780181,"PELE",NA,"PELE",NA,NA,NA,NA,NA,NA
"7","D02","BLAN","BLAN_009","C1","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","6/28/2022","6/28/2022","NEON.MAM.D02.L5057","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","scrotal",NA,NA,NA,20,NA,NA,19,"Y","N","N","5-Jan",NA,"BLAN.20220628.L5057.B","BLAN.20220628.L5057.F",NA,"BLAN.20220628.L5057.H",NA,207,2022,6,1,"BLAN_009_NEON.MAM.D02.L5057","4",2,2022-06-27,"22:15:00",9.10111111111111,1.53222222222222,0.168355512147479,"PELE","PELE",NA,NA,19.5,NA,NA,22.5,NA
"8","D02","BLAN","BLAN_009","F1","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","8/30/2022","8/30/2022","NEON.MAM.D02.L5057","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","scrotal",NA,NA,NA,19,NA,NA,26,"N","N","N",NA,NA,"BLAN.20220830.L5057.B","BLAN.20220830.L5057.F",NA,"BLAN.20220830.L5057.H",NA,23,2022,8,2,"BLAN_009_NEON.MAM.D02.L5057","4",2,2022-08-29,"20:45:00",10.8069444444444,0.9275,0.0858244441588485,"PELE","PELE",NA,NA,19.5,NA,NA,22.5,NA
"9","D02","BLAN","BLAN_009","E2","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","6/28/2022","6/28/2022","NEON.MAM.D02.L5058","PELE","Peromyscus leucopus","F","Y","processed",NA,"subadult",NA,"nonenlarged","not","not plugged",20,NA,NA,17,"Y","N","N","5-Jan",NA,"BLAN.20220628.L5058.B","BLAN.20220628.L5058.F",NA,"BLAN.20220628.L5058.H",NA,291,2022,6,1,"BLAN_009_NEON.MAM.D02.L5058","5",1,2022-06-28,"02:15:00",9.10638888888889,5.53222222222222,0.607509989933807,"PELE","PELE",NA,NA,20,NA,NA,17,NA
"10","D02","BLAN","BLAN_009","B8","distributed","deciduousForest",39.085574,-77.958408,"WGS84",45.2,134.3,0.2,"5 - capture","ShermanLF","6/28/2022","6/28/2022","NEON.MAM.D02.L5060","PELE","Peromyscus leucopus","M","Y","processed",NA,"adult","scrotal",NA,NA,NA,21,NA,NA,23,"Y","N","N","20-Jun",NA,"BLAN.20220628.L5060.B","BLAN.20220628.L5060.F",NA,"BLAN.20220628.L5060.H",NA,282,2022,6,2,"BLAN_009_NEON.MAM.D02.L5060","6",3,2022-06-28,"00:20:00",9.10638888888889,3.61555555555556,0.397035048653265,"PELE",NA,"PELE",NA,21,NA,NA,25.6666666666667,NA
