#,I / O,FOB,FOB_newpairs,Serial Number,Re-pairing status,OK,Notes
000,_In,000_In,,150000005AA8C921,,x,Working 
000,_Out,000_Out,,9D0000005ABCCC21,,x,Working 
001,_In,001_In,,820000005ACC3C21,,x,needs re-pairing
001,_Out,001_Out,,840000005AC5D821,,x,needs re-pairing
002,_In,002_In,,A50000005AB5E021,,x,Working 
002,_Out,002_Out,,A40000005AA2A321,,x,Working 
003,_In,003_In,,DD0000005ACB4521,,x,Working 
003,_Out,003_Out,,560000005AA80D21,,x,Working 
004,_In,004_In,N01_In,560000005ACC7421,re-paired with 658_in,x,Working 
004,_Out,004_Out,,370000005AA45F21,,,Not working
005,_In,005_In,,5A0000005AB02621,,x,needs re-pairing
005,_Out,005_Out,,FE0000005AC75621,,x,needs re-pairing
006,_In,006_In,,980000005AB2F121,,x,Working 
006,_Out,006_Out,,1A0000005AAC5121,,x,Working 
007,_In,007_In,N02_In,D80000005AA9C921,re-paired with 167_out,x,Working 
007,_Out,007_Out,,970000005AB77021,,,Not working
008,_In,008_In,,780000005AA3BE21,,x,Working 
008,_Out,008_Out,,EB0000005ABD0321,,x,Working 
009,_In,009_In,,D10000005ABCF421,,x,Working 
009,_Out,009_Out,,F60000005AAED621,,x,Working 
010,_In,010_In,,BD0000005AB88121,,x,Working 
010,_Out,010_Out,,490000005AC1A521,,x,Working 
011,_In,011_In,,C10000005AA88121,,x,Working 
011,_Out,011_Out,,6F0000005AC38B21,,x,Working 
012,_In,012_In,,6F0000005AC1B921,,x,needs re-pairing
012,_Out,012_Out,,970000005AC86321,,x,needs re-pairing
013,_In,013_In,,DC0000005ACFA421,,x,Working 
013,_Out,013_Out,,A60000005AC6C921,,x,Working 
014,_In,014_In,,110000005ABB4D21,,x,Working 
014,_Out,014_Out,,8D0000005ACDD921,,x,Working 
015,_In,015_In,,4C0000005AC9CE21,,x,Working 
015,_Out,015_Out,,990000005ABFC121,,x,Working 
016,_In,016_In,,DD0000005AA28921,,x,Working 
016,_Out,016_Out,,780000005AA85D21,,x,Working 
