"nightuid","endDate","tagID","trapCoordinate","iButtonLabel","link"
"95729df4-9bf8-4996-84fd-3e9e1e92542a","2024-10-10T16:00:00.000+0000","NEON.MAM.D07.O003J620241010","J6","389","95729df4-9bf8-4996-84fd-3e9e1e92542aJ6"
"95729df4-9bf8-4996-84fd-3e9e1e92542a","2024-10-10T16:00:00.000+0000","NEON.MAM.D07.R5433","C6","221","95729df4-9bf8-4996-84fd-3e9e1e92542aC6"
"95729df4-9bf8-4996-84fd-3e9e1e92542a","2024-10-10T16:00:00.000+0000","NEON.MAM.D07.R5172","C8","286","95729df4-9bf8-4996-84fd-3e9e1e92542aC8"
"95729df4-9bf8-4996-84fd-3e9e1e92542a","2024-10-10T16:00:00.000+0000","NEON.MAM.D07.R5438","I5","234","95729df4-9bf8-4996-84fd-3e9e1e92542aI5"
"b9d168ed-f473-4b0f-9266-20b74bbcd8c8","2024-10-09T16:00:00.000+0000","NEON.MAM.D07.R5448","A9","286","b9d168ed-f473-4b0f-9266-20b74bbcd8c8A9"
"b9d168ed-f473-4b0f-9266-20b74bbcd8c8","2024-10-09T16:00:00.000+0000","NEON.MAM.D07.R5433","E10","294","b9d168ed-f473-4b0f-9266-20b74bbcd8c8E10"
"b9d168ed-f473-4b0f-9266-20b74bbcd8c8","2024-10-09T16:00:00.000+0000","NEON.MAM.D07.R5437","B1","239","b9d168ed-f473-4b0f-9266-20b74bbcd8c8B1"
"b9d168ed-f473-4b0f-9266-20b74bbcd8c8","2024-10-09T16:00:00.000+0000","NEON.MAM.D07.O003B420241009","B4","290","b9d168ed-f473-4b0f-9266-20b74bbcd8c8B4"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.R5165","J1","243","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3J1"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.R5435","H10","264","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3H10"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.O003B820241008","B8","531","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3B8"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.R5433","C6","277","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3C6"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.R5172","A9","204","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3A9"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.R5434","I7","251","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3I7"
"f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3","2024-10-08T16:00:00.000+0000","NEON.MAM.D07.O003F720241008","F7","288","f3cbd5cb-f9d9-4698-a338-f1cb87ce6dd3F7"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5415","G6","051","abb328b9-1414-462d-b63e-929a813d06cbG6"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5222","C7","013","abb328b9-1414-462d-b63e-929a813d06cbC7"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5296","G2","271","abb328b9-1414-462d-b63e-929a813d06cbG2"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5413","H7","061","abb328b9-1414-462d-b63e-929a813d06cbH7"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5410","A4","009","abb328b9-1414-462d-b63e-929a813d06cbA4"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5217","A5","049","abb328b9-1414-462d-b63e-929a813d06cbA5"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R4615","H6","568","abb328b9-1414-462d-b63e-929a813d06cbH6"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.O006B820240926","B8","071","abb328b9-1414-462d-b63e-929a813d06cbB8"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5272","C2","075","abb328b9-1414-462d-b63e-929a813d06cbC2"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5143","J7","098","abb328b9-1414-462d-b63e-929a813d06cbJ7"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5416","A7","070","abb328b9-1414-462d-b63e-929a813d06cbA7"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5292","D6","073","abb328b9-1414-462d-b63e-929a813d06cbD6"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5293","B4","015","abb328b9-1414-462d-b63e-929a813d06cbB4"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5286","E6","N03","abb328b9-1414-462d-b63e-929a813d06cbE6"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5424","I2","322","abb328b9-1414-462d-b63e-929a813d06cbI2"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5423","F3","068","abb328b9-1414-462d-b63e-929a813d06cbF3"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5223","E4","057","abb328b9-1414-462d-b63e-929a813d06cbE4"
"abb328b9-1414-462d-b63e-929a813d06cb","2024-09-26T16:00:00.000+0000","NEON.MAM.D07.R5411","H8","53","abb328b9-1414-462d-b63e-929a813d06cbH8"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5234","E8","N18","1de75757-51cb-4349-bfb6-212eab5c62f9E8"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5223","E4","322","1de75757-51cb-4349-bfb6-212eab5c62f9E4"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5418","B7","71","1de75757-51cb-4349-bfb6-212eab5c62f9B7"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R4815","H6","26","1de75757-51cb-4349-bfb6-212eab5c62f9H6"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5220","J7","003","1de75757-51cb-4349-bfb6-212eab5c62f9J7"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5411","J8","73","1de75757-51cb-4349-bfb6-212eab5c62f9J8"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5293","C3","302","1de75757-51cb-4349-bfb6-212eab5c62f9C3"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5413","F7","89","1de75757-51cb-4349-bfb6-212eab5c62f9F7"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5222","A7","24","1de75757-51cb-4349-bfb6-212eab5c62f9A7"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5143","I6","42","1de75757-51cb-4349-bfb6-212eab5c62f9I6"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5410","A4","000","1de75757-51cb-4349-bfb6-212eab5c62f9A4"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5259","D8","13","1de75757-51cb-4349-bfb6-212eab5c62f9D8"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R4677","D6","579","1de75757-51cb-4349-bfb6-212eab5c62f9D6"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5296","F6","527","1de75757-51cb-4349-bfb6-212eab5c62f9F6"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5281","B4","86","1de75757-51cb-4349-bfb6-212eab5c62f9B4"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.O006H320240925","H3","090","1de75757-51cb-4349-bfb6-212eab5c62f9H3"
"1de75757-51cb-4349-bfb6-212eab5c62f9","2024-09-25T16:00:00.000+0000","NEON.MAM.D07.R5423","F4","78","1de75757-51cb-4349-bfb6-212eab5c62f9F4"
"ae559cf8-6b04-4a34-8195-7336ce676720","2024-09-24T16:00:00.000+0000","NEON.MAM.D07.R4815","H7","253","ae559cf8-6b04-4a34-8195-7336ce676720H7"
