"deployment_id","SCCA_ppd","SCNI_ppd","total_BA","fence","type","initial.ct","two.wk.ct","num.gone","prop.gone","open.can","bare.soil"
"bothd2",0,0.188624048692949,0.590330392350751,"both","high",215,149,66,0.30698,10,35
"bothd3",0.0661632946870262,0,0.987690026751076,"both","high",215,155,60,0.27907,6.5,4
"botmd1",18.6816132001818,0.335597841919433,0.416312862879431,"both","med",215,17,198,0.92093,31,33.25
"botmd2",0.343912763979914,42.2439511755328,0.577515835916758,"both","med",215,2,213,0.9907,12.5,77.5
"botmd3",0.111773689327359,0.0558868446636796,0.203533577849959,"both","med",215,213,2,0.0093,41.5,27.5
"botpi1",NA,NA,0.356585688747546,"both","pine",215,186,29,0.13488,29,37.75
"botpi3",0,0.172328738343543,0.38795920378262,"both","pine",215,187,28,0.13023,18.5,16.5
"conhd1",0.171436621693214,0,0.0987858101958043,"control","high",215,55,160,0.74419,18.5,25.25
"conhd2",126.218433663031,3.20828008690903,0.146766569395918,"control","high",215,0,215,1,17.5,15.5
"conhd3",35.2418859639435,0.890589175984132,0.276494711035091,"control","high",215,8,207,0.96279,7,8.5
"conmd1",0.0655920402844447,1.77098508768001,0.700418867516008,"control","med",215,0,215,1,10.5,13
"conmd2",0,2.0064491055469,0.83045881222605,"control","med",215,23,192,0.89302,11.5,21.5
"conmd3",0,0.666117279815516,0.33009892108513,"control","med",215,0,215,1,14.5,78.375
"conpi1",NA,NA,0.517521626409317,"control","pine",215,105,110,0.51163,13.5,69.125
"conpi2",0.055922438684347,0.111844877368694,0.351835600655318,"control","pine",215,202,13,0.06047,32.5,37.75
"conpi3",0,0.681339652548321,0.575984309498133,"control","pine",215,75,140,0.65116,24.5,70.25
"coyhd1",6.0685899509901,0.774713610764693,0.770706505352936,"coyote","high",215,0,215,1,22,68
"coyhd3",2.59095670809887,39.2098115158963,0.394437167834323,"coyote","high",215,5,210,0.97674,15.5,10.75
"coymd1",1.0077744363688,41.6151561371117,0.49698032284382,"coyote","med",215,4,211,0.9814,18.5,56.875
"coymd3",0.28865544028641,13.104956989003,0.654213893563336,"coyote","med",215,0,215,1,17.5,27.25
"coypi1",0.419365767521869,19.4585716130147,0.466627825421163,"coyote","pine",215,49,166,0.77209,18,67
"coypi2",2.06749608994374,17.8631662171139,0.656026592524457,"coyote","pine",215,33,182,0.84651,25.5,73.625
"coypi3",0.0960058136853843,5.4723313800669,0.335865314400795,"coyote","pine",215,1,214,0.99535,25,34.375
"pighd1",24.1336509503923,53.1393535010986,0.929387564887592,"pig","high",215,126,89,0.41395,5,0.75
"pighd2",31.6969394875885,0.275625560761639,0.411293383217159,"pig","high",215,4,211,0.9814,11,2.25
"pighd3",20.7103428438369,0,0.760966782728645,"pig","high",215,0,215,1,10,17.75
"pigmd1",NA,NA,0.388939380690541,"pig","med",215,176,39,0.1814,24.5,6.375
"pigmd2",11.3717409276557,0.17768345199462,0.443113789807206,"pig","med",215,3,212,0.98605,23,61.125
"pigmd3",28.074413895094,1.53481989403703,0.756691075127109,"pig","med",215,41,174,0.8093,20.5,5.75
"pigpi1",0.117647058823529,0.352941176470588,0.574936588348161,"pig","pine",215,162,53,0.24651,43.5,82
"pigpi3",NA,NA,0.499033353642941,"pig","pine",215,197,18,0.08372,45,71.75
