"Response","Predictor","direct.Mean","direct.SE","direct.CI_pm","direct.Bias","direct.Bias.str","indirect.Mean","indirect.SE","indirect.CI_pm","indirect.Bias","indirect.Bias.str","total.Mean","total.SE","total.CI_pm","total.Bias","total.Bias.str"
Cap. time,Climate,NA,NA,NA,NA,NA,0.000833580475273156,0.00102843893621469,0.00157079529431499,-5.71436776602135e-05,"-5.7×10^-5",0.000833580475273156,0.00102843893621469,0.00157079529431499,-5.71436776602135e-05,"-5.7×10^-5"
Cap. time,Weather,-0.0802720425754465,0.0218870357369195,0.0361729182711188,-0.000377536674547055,"-3.8×10^-4",-0.00828419302738357,0.00212001092262601,0.00352519179415321,-8.36905660447432e-05,"-8.4×10^-5",-0.0885145452098087,0.021812761409528,0.0362799004570735,-0.000461227240591805,"-4.6×10^-4"
Cap. time,Sex,0.0771602594692466,0.0194970968890459,0.0322399632746612,0.000492077260507789,"4.9×10^-4",-0.000888716150891781,0.00152658482435537,0.00253225173462011,-5.60926622300229e-05,"-5.6×10^-5",0.0763772136748043,0.0193496448936916,0.0316544877914925,0.000435984598277775,"4.4×10^-4"
Cap. time,Reproductive,-0.0373629333277888,0.0196523342730645,0.032133080661679,-0.000876138698030965,"-8.8×10^-4",0.0536756101142712,0.00910635485086513,0.0148002627909062,0.000232512134516909,"2.3×10^-4",0.016031467416981,0.0170320488223406,0.0277972542847854,-0.000643626563514056,"-6.4×10^-4"
Cap. time,Weight,0.113666862841097,0.0192080319816271,0.0307852470283816,0.000522298835867241,"5.2×10^-4",NA,NA,NA,NA,NA,0.113666862841097,0.0192080319816271,0.0307852470283816,0.000522298835867241,"5.2×10^-4"
Cap. time Δ,Cap. time,0.520714977408011,0.0180450867333666,0.0295448109093717,-0.000420303423015245,"-4.2×10^-4",NA,NA,NA,NA,NA,0.520714977408011,0.0180450867333666,0.0295448109093717,-0.000420303423015245,"-4.2×10^-4"
Cap. time Δ,Climate,NA,NA,NA,NA,NA,2.2616088986271e-05,0.000856891612956818,0.00138585413753163,-1.15342705644593e-05,"-1.2×10^-5",2.2616088986271e-05,0.000856891612956818,0.00138585413753163,-1.15342705644593e-05,"-1.2×10^-5"
Cap. time Δ,Weather,NA,NA,NA,NA,NA,-0.0473474082837329,0.0115950092797438,0.0193195230125446,-0.000183375173705994,"-1.8×10^-4",-0.0473474082837329,0.0115950092797438,0.0193195230125446,-0.000183375173705994,"-1.8×10^-4"
Cap. time Δ,Sex,-0.0199494731646112,0.0177675621286782,0.0295602442635257,0.000120900719653625,"1.2×10^-4",0.0391051630988577,0.0102616996341114,0.0167142241264197,0.000201293219672417,"2.0×10^-4",0.0193107783071393,0.0204871454657514,0.0339932261134287,0.000322193939326042,"3.2×10^-4"
Cap. time Δ,Reproductive,-0.0116118065718331,0.0174530438185507,0.0287974873057564,0.000210786397357318,"2.1×10^-4",0.0115539137253596,0.0120687647686247,0.0200666478110018,-0.00040805774439418,"-4.1×10^-4",-0.000179436554836373,0.0178028240482226,0.0294888126973389,-0.000197271347036862,"-2.0×10^-4"
Cap. time Δ,Weight,0.00709461201082014,0.0173992846342695,0.0287827030143656,-0.000153658666760995,"-1.5×10^-4",0.0593424642648413,0.0101849070248379,0.0167775148760866,0.000219108920910982,"2.2×10^-4",0.0656315748973379,0.0199133173144032,0.0325576691163067,6.54502541499874e-05,"6.5×10^-5"
