"Response","R2.marg","R2.cond","Predictor","Estimate","DF","SE","P","Std.Estimate"
"Cap. time (Behavior)",0.02,0.1,"Weather (Environment)",-0.0927,2467,0.0246,"<0.001",-0.0799017107946735
"Cap. time (Behavior)",0.02,0.1,"Sex (Phenotype)",0.0408,2482,0.0103,"<0.001",0.077481496174973
"Cap. time (Behavior)",0.02,0.1,"Reproductive (Phenotype)",-0.022,2485,0.012,"0.066",-0.0360926059576082
"Cap. time (Behavior)",0.02,0.1,"Weight (Phenotype)",0.0073,2483,0.0013,"<0.001",0.112925960717996
"Cap. time Δ (Behavior)",0.27,0.31,"Cap. time (Behavior)",0.5234,2329,0.018,"<0.001",0.521422825970895
"Cap. time Δ (Behavior)",0.27,0.31,"Sex (Phenotype)",-0.0104,2329,0.0093,"0.263",-0.019797707063108
"Cap. time Δ (Behavior)",0.27,0.31,"Reproductive (Phenotype)",-0.0073,2332,0.0108,"0.500",-0.0119367756791826
"Cap. time Δ (Behavior)",0.27,0.31,"Weight (Phenotype)",5e-04,2329,0.0011,"0.678",0.00733946491980841
"Resistance (Expression)",0.04,0.31,"Weather (Environment)",0.1789,372,0.0704,"0.012",0.124631892277484
"Resistance (Expression)",0.04,0.31,"Parasitism (Parasitism)",-0.0464,372,0.0311,"0.136",-0.0723810283070149
"Resistance (Expression)",0.04,0.31,"Sex (Phenotype)",0.0676,365,0.0293,"0.021",0.106098939725321
"Resistance (Expression)",0.04,0.31,"Reproductive (Phenotype)",-0.0419,366,0.0334,"0.211",-0.057582834980865
"Resistance (Expression)",0.04,0.31,"Weight (Phenotype)",0.0115,369,0.0037,"0.002",0.146467290740908
"Tolerance (Expression)",0.03,0.24,"Infection (Infection)",0.0776,230,0.044,"0.079",0.120090011619361
"Tolerance (Expression)",0.03,0.24,"Parasitism (Parasitism)",0.0258,244,0.037,"0.486",0.0417901462642663
"Tolerance (Expression)",0.03,0.24,"Reproductive (Phenotype)",0.0643,242,0.0367,"0.081",0.103346497555563
"Infection (Infection)",0.13,0.58,"Cap. time Δ (Behavior)",2.1002,224,1.8089,"0.246",0.08263657774404
"Infection (Infection)",0.13,0.58,"Weather (Environment)",1.9231,224,0.9147,"0.035",0.158812830817537
"Infection (Infection)",0.13,0.58,"Resistance (Expression)",-0.0105,224,0.6173,"0.987",-0.00132685908249011
"Infection (Infection)",0.13,0.58,"Parasitism (Parasitism)",0.8862,224,0.3737,"0.018",0.176163784779953
"Infection (Infection)",0.13,0.58,"Sex (Phenotype)",0.2214,224,0.3718,"0.552",0.0433966311064396
"Infection (Infection)",0.13,0.58,"Reproductive (Phenotype)",0.8361,224,0.4202,"0.047",0.149992508401879
"Infection (Infection)",0.13,0.58,"Weight (Phenotype)",0.1097,224,0.0512,"0.032",0.158759829581948
"Parasitism (Parasitism)",0.13,0.29,"Cap. time Δ (Behavior)",-0.3623,1817,0.2019,"0.073",-0.0457632482751929
"Parasitism (Parasitism)",0.13,0.29,"Climate (Environment)",0.5639,1817,0.3091,"0.068",0.195286189674172
"Parasitism (Parasitism)",0.13,0.29,"Weather (Environment)",1.7943,1817,0.247,"<0.001",0.206032603139329
"Parasitism (Parasitism)",0.13,0.29,"Sex (Phenotype)",0.4697,1817,0.1055,"<0.001",0.111819447774674
"Parasitism (Parasitism)",0.13,0.29,"Reproductive (Phenotype)",0.1195,1817,0.1205,"0.321",0.0249053793399242
"Parasitism (Parasitism)",0.13,0.29,"Weight (Phenotype)",-0.0128,1817,0.014,"0.363",-0.0239297618290397
"Reproductive (Phenotype)",0.01,0.12,"Climate (Environment)",0.0863,18706,0.0882,"0.328",0.0352398601365106
"Reproductive (Phenotype)",0.01,0.12,"Weather (Environment)",0.5275,18706,0.0757,"<0.001",0.0610722615670512
"Reproductive (Phenotype)",0.01,0.12,"Sex (Phenotype)",0.2705,18706,0.0307,"<0.001",0.0708258210979694
"Weight (Phenotype)",0.2,0.31,"Weather (Environment)",-1.7382,14725,0.1632,"<0.001",-0.0812534994243382
"Weight (Phenotype)",0.2,0.31,"Sex (Phenotype)",-0.1726,15238,0.0681,"0.011",-0.0179250185310791
"Weight (Phenotype)",0.2,0.31,"Reproductive (Phenotype)",4.5408,15260,0.0699,"<0.001",0.472375212542254
