"Response","grp","vcov","sdcor"
"tolerance","siteID",0.0173004338368682,0.131531113569635
"tolerance","year",0.00357285651022262,0.0597733762658813
"tolerance","species",0,0
"tolerance","Residual",0.0763633515029089,0.276339196464977
"infection","siteID",2.32658201950424,1.52531374461264
"infection","year",0.651123452610937,0.806922209764322
"infection","species",0.532993180875461,0.730063819727742
"resistance","siteID",0.0133161713216217,0.115395716218678
"resistance","year",0.0152751070562498,0.123592504045552
"resistance","species",0.00304140158437638,0.0551489037459167
"resistance","Residual",0.0810916568062099,0.284765968483262
"ticks","siteID",0.574327440335587,0.757843941940283
"ticks","year",0.0111983158853004,0.105822095449393
"ticks","species",0.129760347898388,0.360222636571312
"captime_shift","siteID",0.00143509115750287,0.037882597026905
"captime_shift","year",9.62109430721973e-05,0.00980871770784527
"captime_shift","species",0.000872890017790472,0.029544712179855
"captime_shift","Residual",0.047854892056663,0.218757610282849
"captime","siteID",0.0035102577184282,0.0592474279477869
"captime","species",0.00228656843319273,0.0478180764271497
"captime","Residual",0.0640435220198756,0.253068216139198
"weight","plotID",0.558455333956191,0.747298691258182
"weight","year",0.109107512679707,0.330314263512352
"weight","species",2.23644651506117,1.49547534752706
"weight","Residual",16.6704879808692,4.08295089131246
"maturity","plotID",0.225204283157555,0.474556933525952
"maturity","year",0.0718531796203726,0.268054434062137
"maturity","species",0.122397406158904,0.349853406670429
