"Response","Predictor","Mean_indirect","Mean_total","Mean_direct","SE_indirect","SE_total","SE_direct","Bias_indirect","Bias_total","Bias_direct","CI_indirect","CI_total","CI_direct"
"Cap. time","Climate","-0.002","-0.002",NA,"0.001","0.001",NA,"5.1e-05","5.1e-05",NA,"(-0.004, 0.000)","(-0.004, 0.000)",NA
"Cap. time","Weather","-0.008","-0.052","-0.044","0.002","0.019","0.019","2.1e-05","3.2e-04","3.0e-04","(-0.011, -0.005)","(-0.082, -0.021)","(-0.075, -0.013)"
"Cap. time","Sex","-0.002","0.076","0.078","0.001","0.018","0.018","-4.6e-06","4.2e-04","4.3e-04","(-0.004, 0.000)","(0.047, 0.106)","(0.048, 0.108)"
"Cap. time","Reproductive","0.055","0.026","-0.029","0.009","0.016","0.018","2.6e-05","-1.3e-04","-1.5e-04","(0.041, 0.069)","(0.001, 0.051)","(-0.058, 0.000)"
"Cap. time","Weight",NA,"0.122","0.122",NA,"0.019","0.019",NA,"1.0e-04","1.0e-04",NA,"(0.091, 0.153)","(0.091, 0.153)"
"Cap. time Δ","Cap. time",NA,"0.525","0.525",NA,"0.016","0.016",NA,"2.0e-04","2.0e-04",NA,"(0.499, 0.552)","(0.499, 0.552)"
"Cap. time Δ","Climate","0.000","0.000",NA,"0.001","0.001",NA,"2.2e-05","2.2e-05",NA,"(-0.002, 0.002)","(-0.002, 0.002)",NA
"Cap. time Δ","Weather","-0.029","-0.029",NA,"0.010","0.010",NA,"1.6e-04","1.6e-04",NA,"(-0.045, -0.013)","(-0.045, -0.013)",NA
"Cap. time Δ","Sex","0.039","0.032","-0.006","0.010","0.018","0.016","2.3e-04","9.0e-04","6.6e-04","(0.023, 0.054)","(0.002, 0.063)","(-0.033, 0.020)"
"Cap. time Δ","Reproductive","0.016","-0.004","-0.019","0.011","0.016","0.016","7.4e-06","2.7e-05","2.0e-05","(-0.002, 0.033)","(-0.031, 0.023)","(-0.046, 0.008)"
"Cap. time Δ","Weight","0.064","0.069","0.005","0.010","0.020","0.017","7.2e-05","2.3e-04","1.6e-04","(0.048, 0.081)","(0.037, 0.101)","(-0.023, 0.033)"
"Resistance","Cap. time","0.002","0.002",NA,"0.001","0.001",NA,"-1.7e-05","-1.7e-05",NA,"(-0.000, 0.004)","(-0.000, 0.004)",NA
"Resistance","Cap. time Δ","0.004","0.004",NA,"0.003","0.003",NA,"-3.1e-05","-3.1e-05",NA,"(-0.000, 0.008)","(-0.000, 0.008)",NA
"Resistance","Climate","0.020","0.020",NA,"0.016","0.016",NA,"-2.7e-04","-2.7e-04",NA,"(-0.005, 0.046)","(-0.005, 0.046)",NA
"Resistance","Weather","-0.025","0.093","0.118","0.010","0.045","0.045","-1.5e-04","-1.8e-03","-1.6e-03","(-0.040, -0.009)","(0.019, 0.167)","(0.042, 0.193)"
"Resistance","Parasitism",NA,"-0.080","-0.080",NA,"0.046","0.046",NA,"-2.4e-04","-2.4e-04",NA,"(-0.157, -0.004)","(-0.157, -0.004)"
"Resistance","Sex","-0.011","0.068","0.079","0.006","0.042","0.043","-2.9e-05","2.1e-04","2.4e-04","(-0.021, -0.001)","(-0.001, 0.137)","(0.009, 0.149)"
"Resistance","Reproductive","0.077","0.050","-0.027","0.022","0.039","0.045","3.6e-04","1.4e-03","1.0e-03","(0.041, 0.112)","(-0.015, 0.114)","(-0.100, 0.046)"
"Resistance","Weight","0.002","0.176","0.175","0.003","0.048","0.048","1.3e-04","1.2e-03","1.0e-03","(-0.003, 0.006)","(0.098, 0.254)","(0.097, 0.253)"
"Tolerance","Cap. time","0.019","0.019",NA,"0.016","0.016",NA,"1.6e-03","1.6e-03",NA,"(-0.005, 0.042)","(-0.005, 0.042)",NA
"Tolerance","Cap. time Δ","0.035","0.035",NA,"0.031","0.031",NA,"3.0e-03","3.0e-03",NA,"(-0.010, 0.080)","(-0.010, 0.080)",NA
"Tolerance","Climate","-0.028","-0.028",NA,"0.019","0.019",NA,"-5.2e-04","-5.2e-04",NA,"(-0.058, 0.002)","(-0.058, 0.002)",NA
