"Response","Species","R2.marg","R2.cond","Predictor","Effect","SE","DF","CI.low","CI.up"
"Infection","PELE",0.11,0.48,"Weather",0.136971569032154,0.0671668916979193,360,0.0335212951533043,0.251133288400852
"Infection","PELE",0.11,0.48,"Parasitism",0.1812254212867,0.0651124355979738,360,0.08336429947674,0.298001157556459
"Infection","PELE",0.11,0.48,"Sex",0.0245214991149332,0.0601770138064081,360,-0.0764511566372563,0.117521694973503
"Infection","PELE",0.11,0.48,"Reproductive",0.100703213772193,0.0628509944758982,360,-0.00164718183634697,0.209320944537522
"Infection","PELE",0.11,0.48,"Weight",0.17253806961709,0.0736864659295513,360,0.0627358948468568,0.300808330064824
"Infection","PEMA",0.42,0.42,"Weather",0.278405088048066,0.178021871708499,52,0.0908975017795298,0.662370194124887
"Infection","PEMA",0.42,0.42,"Parasitism",-0.0115396163589583,3.23939284935405,52,-0.327299922545286,0.329651189662454
"Infection","PEMA",0.42,0.42,"Sex",0.180806475066875,0.168407532943974,52,-0.0765580663053501,0.484339383171312
"Infection","PEMA",0.42,0.42,"Reproductive",0.286251466332483,0.363379718153223,52,0.116348881286403,0.515412043446383
"Infection","PEMA",0.42,0.42,"Weight",-0.236597440146378,0.151142548157394,52,-0.511273746173433,-0.0145604790263797
"Parasitism","PELE",0.13,0.29,"Climate",0.333252218827595,0.107721726319245,13334,0.164476189887455,0.523191241966365
"Parasitism","PELE",0.13,0.29,"Weather",0.0953657810383269,0.0100671152835505,13334,0.0791233310857586,0.11231699430801
"Parasitism","PELE",0.13,0.29,"Sex",0.0794690325175643,0.0093855206541602,13334,0.0640579832560596,0.095090587931464
"Parasitism","PELE",0.13,0.29,"Reproductive",0.0106295428635586,0.00980264006817473,13334,-0.00563081224756036,0.0263285857967105
"Parasitism","PELE",0.13,0.29,"Weight",0.00872629355595593,0.0099473050751429,13334,-0.00799243215969225,0.0244710769772357
"Parasitism","PEMA",0.2,0.45,"Climate",0.419043145876458,0.180436596024258,3559,0.126022206574459,0.727539626582928
"Parasitism","PEMA",0.2,0.45,"Weather",0.0699361759109137,0.0275070969988212,3559,0.0257395736777655,0.114597035711025
"Parasitism","PEMA",0.2,0.45,"Sex",-0.00393080102640222,0.02608237327405,3559,-0.0462971878491583,0.0413594029642389
"Parasitism","PEMA",0.2,0.45,"Reproductive",0.0956929279843302,0.0250011272218003,3559,0.0528854436907045,0.135800312529046
"Parasitism","PEMA",0.2,0.45,"Weight",0.112451983080434,0.0253417281755139,3559,0.0705940070350572,0.155489788848743
"Reproductive","PELE",0.01,0.07,"Weather",0.0644934109332048,0.00865322470788611,18706,0.0502773053953321,0.0780375813376948
"Reproductive","PELE",0.01,0.07,"Sex",0.0727124003886893,0.00818247600511424,18706,0.0588785517605786,0.0861126470327799
"Reproductive","PEMA",0,0.27,"Weather",0.0644813960341962,0.018908257124607,4794,0.0322601256022373,0.0951547644283155
"Reproductive","PEMA",0,0.27,"Sex",-0.0274074501192057,0.0181973822994005,4794,-0.0568271320204798,0.0024955016510107
"Weight","PELE",0.22,0.24,"Weather",-0.0806414702243516,0.00758043100862412,13990,-0.093339441846294,-0.0682719960627065
"Weight","PELE",0.22,0.24,"Sex",-0.0187423677210279,0.0070640597820364,15259,-0.0299794481825647,-0.00728122200969916
"Weight","PELE",0.22,0.24,"Reproductive",0.472603632473806,0.00729499336438327,15199,0.460665417635424,0.485003614395159
"Weight","PEMA",0.14,0.36,"Weather",-0.0819113716357741,0.0155016457937517,3930,-0.107653092338842,-0.0559193014661464
"Weight","PEMA",0.14,0.36,"Sex",-0.0772017628251292,0.014430075000611,3931,-0.100680398780055,-0.05316601907209
"Weight","PEMA",0.14,0.36,"Reproductive",0.389602402248125,0.0145229587725752,3886,0.364695852392561,0.412909070142083
