year,siteID,plotID,expression,captime,USF_infect,NEON_infect,without_NEON,with_NEON,additional
2022,BLAN,BLAN_009,11,64,0,4,0,0,0
2022,HARV,HARV_008,36,264,0,4,0,0,0
2022,MLBS,MLBS_006,21,238,0,4,0,0,0
2022,ORNL,ORNL_003,5,35,0,3,0,1,1
2022,SCBI,SCBI_008,17,167,0,3,0,0,0
2022,SERC,SERC_015,8,64,0,4,0,2,2
2022,STEI,STEI_012,64,228,0,4,0,2,2
2022,UNDE,UNDE_027,45,184,0,0,0,0,0
2023,BLAN,BLAN_009,19,67,17,0,13,13,0
2023,HARV,HARV_008,4,5,0,0,0,0,0
2023,MLBS,MLBS_006,44,271,32,0,29,29,0
2023,ORNL,ORNL_003,7,24,8,0,6,6,0
2023,SCBI,SCBI_008,23,121,16,0,16,16,0
2023,SERC,SERC_015,13,103,6,0,6,6,0
2023,STEI,STEI_012,99,406,52,0,42,42,0
2023,UNDE,UNDE_027,20,107,14,1,9,9,0
2024,BLAN,BLAN_009,34,161,60,0,27,27,0
2024,HARV,HARV_008,38,149,44,0,36,36,0
2024,MLBS,MLBS_006,64,270,70,0,58,58,0
2024,ORNL,ORNL_003,19,44,22,0,16,16,0
2024,SCBI,SCBI_008,18,101,28,0,18,18,0
2024,SERC,SERC_015,9,128,35,0,8,8,0
2024,STEI,STEI_012,20,278,79,0,11,11,0
2024,UNDE,UNDE_027,12,136,56,0,6,6,0
