"","Response","Predictor","Est. (no space)","Est. (with space)","P (no space)","P (with space)"
"1","avg_move_dist","clim_PC1",NA,0.0188,NA,0.4482
"2","avg_move_dist","sex_male",NA,0.0103,NA,0.136
"3","avg_move_dist","sex_mature",NA,-0.0116,NA,0.15
"4","avg_move_dist","weight",NA,0.032,NA,1e-04
"5","avg_move_dist","wthr_PC1",NA,-0.0097,NA,0.1827
"6","Bb_infected","avg_move_dist",NA,0.4085,NA,0.7269
"7","Bb_infected","weighted_trap_diversity",NA,0.2078,NA,0.7271
"8","Bb_infected","weighted_trapability",NA,-0.1586,NA,0.5422
"9","expr_PC1","avg_move_dist",NA,-0.1016,NA,0.5621
"10","expr_PC1","weighted_trap_diversity",NA,0.4327,NA,0.0477
"11","expr_PC1","weighted_trapability",NA,-0.2179,NA,0.1646
"12","expr_PC2","avg_move_dist",NA,1.7581,NA,0.0428
"13","expr_PC2","Bb_infected",0.122,0.0927,0.0792,0.1784
"14","expr_PC2","weighted_trap_diversity",NA,0.6396,NA,0.0678
"15","expr_PC2","weighted_trapability",NA,-0.2466,NA,0.2114
"16","ticks_attached","avg_move_dist",NA,0.2122,NA,0.4994
"17","ticks_attached","weighted_trap_diversity",NA,-0.0668,NA,0.4381
"18","ticks_attached","weighted_trapability",NA,0.0012,NA,0.9864
"19","weighted_trap_diversity","avg_move_dist",NA,-0.003,NA,0.5385
"20","weighted_trap_diversity","clim_PC1",NA,0.0348,NA,0.3575
"21","weighted_trap_diversity","sex_male",NA,0.0336,NA,0
"22","weighted_trap_diversity","sex_mature",NA,-0.008,NA,0.0997
"23","weighted_trap_diversity","weight",NA,0.0312,NA,0
"24","weighted_trap_diversity","weighted_trapability",NA,0.8593,NA,0
"25","weighted_trap_diversity","wthr_PC1",NA,-0.0313,NA,0
"26","weighted_trapability","avg_move_dist",NA,0.0208,NA,0.0166
"27","weighted_trapability","clim_PC1",NA,-0.2156,NA,0.0186
"28","weighted_trapability","sex_male",NA,-0.0569,NA,0
"29","weighted_trapability","sex_mature",NA,2e-04,NA,0.98
"30","weighted_trapability","weight",NA,0.0965,NA,0
"31","weighted_trapability","wthr_PC1",NA,0.042,NA,0
