"","tmp_iid","cap_num","tot_caps","siteID","plotID","tagID","year","eventID","date","prev_cap_days","ecap","taxonID","sex_male","sex_mature","weight","male_prop","mature_prop","PELE_prop","weight_sd"
"1",10468,1,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.18",2016-05-04,NA,"N","PELE",1,0,20,1,0.29,0.71,2.5
"2",10468,2,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.22",2016-06-01,28,"Y","PELE",1,0,20,1,0.29,0.71,2.5
"3",10468,3,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.22",2016-06-02,1,"Y","PELE",1,0,18,1,0.29,0.71,2.5
"4",10468,4,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.22",2016-06-03,1,"Y","PELE",1,0,18,1,0.29,0.71,2.5
"5",10468,5,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.27",2016-07-06,33,"Y","PELE",1,0,19,1,0.29,0.71,2.5
"6",10468,6,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.27",2016-07-07,1,"Y","PELE",1,0,18,1,0.29,0.71,2.5
"7",10468,7,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.27",2016-07-08,1,"Y","PELE",1,0,19,1,0.29,0.71,2.5
"8",10468,8,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.30",2016-07-26,18,"Y","PELE",1,0,17,1,0.29,0.71,2.5
"9",10468,9,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.30",2016-07-27,1,"Y","PELE",1,1,19,1,0.29,0.71,2.5
"10",10468,10,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.30",2016-07-28,1,"Y","PELE",1,0,14,1,0.29,0.71,2.5
"11",10468,11,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.34",2016-08-23,26,"Y","PELE",1,1,22,1,0.29,0.71,2.5
"12",10468,12,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.34",2016-08-24,1,"Y","PELE",1,1,20,1,0.29,0.71,2.5
"13",10468,13,38,"ORNL","ORNL_001","D07.R1598",2016,"ORNL.2016.34",2016-08-25,1,"Y","PELE",1,1,21,1,0.29,0.71,2.5
"14",10468,14,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.17",2017-04-26,244,"Y","PEMA",1,0,22,1,0.29,0.71,2.5
"15",10468,15,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.17",2017-04-28,2,"Y","PELE",1,0,19,1,0.29,0.71,2.5
"16",10468,16,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.21",2017-05-24,26,"Y","PELE",1,0,22,1,0.29,0.71,2.5
"17",10468,17,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.21",2017-05-25,1,"Y","PELE",1,0,22,1,0.29,0.71,2.5
"18",10468,18,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.21",2017-05-26,1,"Y","PELE",1,0,20,1,0.29,0.71,2.5
"19",10468,19,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.25",2017-06-21,26,"Y","PELE",1,0,20,1,0.29,0.71,2.5
"20",10468,20,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.25",2017-06-22,1,"Y","PELE",1,0,20,1,0.29,0.71,2.5
"21",10468,21,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.25",2017-06-23,1,"Y","PELE",1,0,19,1,0.29,0.71,2.5
"22",10468,22,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.29",2017-07-18,25,"Y","PELE",1,0,22,1,0.29,0.71,2.5
"23",10468,23,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.29",2017-07-19,1,"Y","PELE",1,0,20,1,0.29,0.71,2.5
"24",10468,24,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.29",2017-07-20,1,"Y","PELE",1,0,20,1,0.29,0.71,2.5
"25",10468,25,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.33",2017-08-15,26,"Y","PEMA",1,1,24,1,0.29,0.71,2.5
"26",10468,26,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.33",2017-08-16,1,"Y","PELE",1,0,21,1,0.29,0.71,2.5
"27",10468,27,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.33",2017-08-17,1,"Y","PELE",1,0,21,1,0.29,0.71,2.5
"28",10468,28,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.42",2017-10-18,62,"Y","PELE",1,1,25,1,0.29,0.71,2.5
"29",10468,29,38,"ORNL","ORNL_001","D07.R1598",2017,"ORNL.2017.42",2017-10-19,1,"Y","PELE",1,0,25,1,0.29,0.71,2.5
"30",10468,30,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.15",2018-04-10,173,"Y","PEMA",1,0,23,1,0.29,0.71,2.5
"31",10468,31,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.15",2018-04-11,1,"Y","PEMA",1,0,21,1,0.29,0.71,2.5
"32",10468,32,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.15",2018-04-12,1,"Y","PEMA",1,0,20,1,0.29,0.71,2.5
"33",10468,33,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.19",2018-05-08,26,"Y","PEMA",1,1,23,1,0.29,0.71,2.5
"34",10468,34,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.19",2018-05-09,1,"Y","PEMA",1,1,17,1,0.29,0.71,2.5
"35",10468,35,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.19",2018-05-10,1,"Y","PEMA",1,0,23,1,0.29,0.71,2.5
"36",10468,36,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.24",2018-06-12,33,"Y","PEMA",1,1,18,1,0.29,0.71,2.5
"37",10468,37,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.24",2018-06-13,1,"Y","PEMA",1,1,18,1,0.29,0.71,2.5
"38",10468,38,38,"ORNL","ORNL_001","D07.R1598",2018,"ORNL.2018.24",2018-06-14,1,"Y","PEMA",1,1,14,1,0.29,0.71,2.5
"39",10546,1,27,"ORNL","ORNL_001","D07.R2206",2018,"ORNL.2018.19",2018-05-08,NA,"N","PEMA",0,0,19,0.04,0.33,0.96,8.08
"40",10546,2,27,"ORNL","ORNL_001","D07.R2206",2018,"ORNL.2018.19",2018-05-10,2,"Y","PELE",0,0,18,0.04,0.33,0.96,8.08
"41",10546,3,27,"ORNL","ORNL_001","D07.R2206",2018,"ORNL.2018.24",2018-06-12,33,"Y","PELE",0,0,13,0.04,0.33,0.96,8.08
"42",10546,4,27,"ORNL","ORNL_001","D07.R2206",2018,"ORNL.2018.24",2018-06-13,1,"Y","PELE",0,0,13,0.04,0.33,0.96,8.08
"43",10546,5,27,"ORNL","ORNL_001","D07.R2206",2018,"ORNL.2018.24",2018-06-14,1,"Y","PELE",0,0,14,0.04,0.33,0.96,8.08
"44",10546,6,27,"ORNL","ORNL_001","D07.R2206",2018,"ORNL.2018.28",2018-07-10,26,"Y","PELE",0,0,21,0.04,0.33,0.96,8.08
