strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100010101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010106,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010107,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010108,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010109,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010204,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010205,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010206,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010207,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010208,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010307,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010312,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010313,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010504,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010505,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010506,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010507,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010508,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010509,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010601,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010602,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010603,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010604,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010605,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010606,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010701,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010702,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010703,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010704,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010705,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010802,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010803,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010804,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010805,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010806,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010807,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010901,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010902,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010903,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010904,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010905,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010906,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100010907,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011001,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011002,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011003,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011004,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011005,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011307,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011308,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011309,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011404,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011507,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100011508,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012601,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012603,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012604,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012605,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012607,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012608,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012701,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012702,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100012803,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020204,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020307,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020308,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020404,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020405,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020406,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020501,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020502,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020503,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020504,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020505,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020601,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020602,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020701,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020702,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020703,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020704,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020705,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020706,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020707,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020708,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020709,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020710,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020711,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030105,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030204,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030205,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030206,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030207,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030307,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030308,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030309,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030310,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030401,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030402,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030403,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040101,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040102,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040103,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040104,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040201,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040202,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040203,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040301,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040302,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040303,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040304,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040305,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040306,mNADEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
