strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010200010201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010204,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010205,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010206,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040101,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040102,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040103,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040104,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040105,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040106,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040107,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040108,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040109,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040110,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040111,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040201,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040202,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040203,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040204,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040205,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040301,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040302,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040303,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040304,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040305,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040306,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040307,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040308,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040309,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040310,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040311,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040312,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040405,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040408,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040410,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040601,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040602,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050401,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050402,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050403,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050404,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050405,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050406,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050407,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050408,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050501,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050502,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050503,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050504,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050505,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050506,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050507,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050508,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050509,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050510,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050601,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050602,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050603,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050701,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050702,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050703,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050704,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050705,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050706,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050707,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050801,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050802,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050803,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050804,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050805,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050901,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050902,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200050903,mWFDEx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
