"Response","Predictor","Std.Estimate","P.Value","Var.9"
"expr_PC2","sex_mature",0.1305,0.0315,"*"
"expr_PC2","weighted_trap_diversity",0.1443,0.0555,""
"expr_PC2","avg_move_dist",0.0806,0.2705,""
"Bb_burden","sex_male",0.0752,0.2194,""
"Bb_burden","weight",-0.1048,0.2812,""
"Bb_burden","ticks_attached",0.0381,0.5539,""
"Bb_burden","expr_PC1",-0.0852,0.2288,""
"Bb_burden","wthr_PC1",0.1299,0.0467,"*"
"Bb_burden","sex_male:weight",0.3281,9e-04,"***"
"expr_PC1","sex_male",0.134,0.0181,"*"
"expr_PC1","weight",0.1559,0.0077,"**"
"expr_PC1","wthr_PC1",0.1802,0.0027,"**"
"expr_PC1","ticks_attached",-0.0107,0.859,""
"ticks_attached","wthr_PC1",0.2044,0.0062,"**"
"ticks_attached","clim_PC1",-0.3069,0.0418,"*"
"ticks_attached","sex_male",0.1094,0.12,""
"cap_prop_night","weighted_trap_diversity",-0.1335,0.0335,"*"
"cap_prop_night","wthr_PC1",-0.2036,0.0016,"**"
"cap_prop_night","clim_PC2",0.2812,0,"***"
"cap_prop_night","sex_male",-0.1182,0.1549,""
"cap_prop_night","sex_mature",-0.0582,0.5539,""
"cap_prop_night","sex_male:sex_mature",0.1765,0.1249,""
"weighted_trap_diversity","weighted_trapability",0.5974,0,"***"
"weighted_trap_diversity","avg_move_dist",0.2821,0,"***"
"weighted_trap_diversity","wthr_PC1",-0.0763,0.0627,""
"weighted_trap_diversity","sex_male",0.0417,0.2887,""
"weighted_trap_diversity","weight",0.1233,0.0522,""
"weighted_trap_diversity","sex_male:weight",-0.1021,0.1085,""
"weighted_trapability","avg_move_dist",0.4649,0,"***"
"weighted_trapability","clim_PC2",-0.2711,0,"***"
"weighted_trapability","clim_PC1",-0.0655,0.261,""
"avg_move_dist","sex_male",-0.0066,0.9184,""
"avg_move_dist","weight",-0.0779,0.4442,""
"avg_move_dist","clim_PC2",0.1968,0.0026,"**"
"avg_move_dist","sex_male:weight",0.2276,0.025,"*"
